"","O2Concentrationcomp","O2ConcentrationSV","o2sat_sw","o2percentsat","o2percentsatSV"
"73",264.418631003456,282.582338364621,281.284056535958,94.014866645308,100.472675866774
"74",264.418631003456,282.582338364621,281.284056535958,94.014866645308,100.472675866774
"75",264.418631003456,282.582338364621,281.284056535958,94.014866645308,100.472675866774
"76",264.418631003456,282.582338364621,281.284056535958,94.014866645308,100.472675866774
"77",264.418631003456,282.582338364621,281.284056535958,94.014866645308,100.472675866774
"78",265.117006521995,283.312438109049,281.280480814069,94.014866645308,100.472675866774
"79",264.418631003456,282.582338364621,281.284056535958,94.014866645308,100.472675866774
"80",264.412337072266,282.575708625932,281.280480814069,94.014866645308,100.472675866774
"81",264.060826183543,282.208286696767,281.280480814069,94.014866645308,100.472675866774
"82",264.412337072266,282.575708625932,281.280480814069,94.014866645308,100.472675866774
