"","time","salinity_PSU"
"275",2024-10-15 01:00:00,32.5876598122865
"276",2024-10-15 02:00:00,32.4709391678481
"277",2024-10-15 03:00:00,31.4554208349864
"278",2024-10-15 04:00:00,31.6438272054338
"279",2024-10-15 05:00:00,31.1903767953625
"280",2024-10-15 06:00:00,31.0956653730666
"281",2024-10-15 07:00:00,31.2654200837784
"282",2024-10-15 08:00:00,30.8934450890113
"283",2024-10-15 09:00:00,30.6000874152363
"284",2024-10-15 10:00:00,30.4698266706848
"285",2024-10-15 11:00:00,30.5456288733797
"286",2024-10-15 12:00:00,30.6787134626895
"287",2024-10-15 13:00:00,30.3634941973861
"288",2024-10-15 14:00:00,30.4207618904196
"289",2024-10-15 15:00:00,30.4687091618216
"290",2024-10-15 16:00:00,30.3496325105333
"291",2024-10-15 17:00:00,30.3539678330107
"292",2024-10-15 18:00:00,30.3692820164232
"293",2024-10-15 19:00:00,30.4024135654402
"294",2024-10-15 20:00:00,31.2794966386462
"295",2024-10-15 21:00:00,31.2124
"296",2024-10-15 22:00:00,31.3067274132034
"297",2024-10-15 23:00:00,30.7179186634522
"298",2024-10-16,30.6313
"299",2024-10-16 01:00:00,30.7778396479742
"300",2024-10-16 02:00:00,30.8096163154813
"301",2024-10-16 03:00:00,31.3910876375217
"302",2024-10-16 04:00:00,31.4745596308167
"303",2024-10-16 05:00:00,31.528459271848
"304",2024-10-16 06:00:00,31.4633632952089
"305",2024-10-16 07:00:00,31.6236664933033
"306",2024-10-16 08:00:00,32.5692557022756
"307",2024-10-16 09:00:00,33.2057769953975
"308",2024-10-16 10:00:00,33.1531463502271
"309",2024-10-16 11:00:00,33.0150291992854
"310",2024-10-16 12:00:00,33.2638096529285
"311",2024-10-16 13:00:00,33.4632366472959
"312",2024-10-16 14:00:00,33.3027754350841
"313",2024-10-16 15:00:00,33.2102247307591
"314",2024-10-16 16:00:00,33.230366679899
"315",2024-10-16 17:00:00,33.5405930208723
"316",2024-10-16 18:00:00,33.6467458291604
"317",2024-10-16 19:00:00,33.6636628536919
"318",2024-10-16 20:00:00,33.7778125423668
"319",2024-10-16 21:00:00,33.8478619783404
"320",2024-10-16 22:00:00,33.948329440101
"321",2024-10-16 23:00:00,33.528911860341
"322",2024-10-17,33.3309000602552
"323",2024-10-17 01:00:00,33.4413303860731
"324",2024-10-17 02:00:00,33.2498393478692
"325",2024-10-17 03:00:00,32.6950075944376
"326",2024-10-17 04:00:00,32.1503393557365
"327",2024-10-17 05:00:00,31.9933749351848
"328",2024-10-17 06:00:00,31.7830916716893
"329",2024-10-17 07:00:00,31.5367660949376
"330",2024-10-17 08:00:00,31.2991336867372
"331",2024-10-17 09:00:00,31.4431223728815
"332",2024-10-17 10:00:00,30.9282335667076
"333",2024-10-17 11:00:00,30.6039321670035
"334",2024-10-17 12:00:00,31.0431057395481
"335",2024-10-17 13:00:00,31.0215
"336",2024-10-17 14:00:00,30.9105
"337",2024-10-17 15:00:00,30.6769
"338",2024-10-17 16:00:00,30.8038833501175
"339",2024-10-17 17:00:00,31.1178265852975
"340",2024-10-17 18:00:00,31.0044954043492
"341",2024-10-17 19:00:00,30.6196513858395
"342",2024-10-17 20:00:00,30.8325
"343",2024-10-17 21:00:00,31.262
"344",2024-10-17 22:00:00,31.5567689378863
"345",2024-10-17 23:00:00,31.5483390878122
"346",2024-10-18,31.7693
"347",2024-10-18 01:00:00,31.7699
"348",2024-10-18 02:00:00,31.7782
"349",2024-10-18 03:00:00,31.7779945525067
"350",2024-10-18 04:00:00,31.5214
"351",2024-10-18 05:00:00,31.0148
"352",2024-10-18 06:00:00,30.5704
"353",2024-10-18 07:00:00,30.4862846881097
"354",2024-10-18 08:00:00,30.0671049056467
